Path	Lines of Code
App.css	78
components/BasicPropertyResult.tsx	13
components/CharacterResult.tsx	63
components/CharactersArrayResult.tsx	53
components/MainContainer.tsx	95
components/PageContainer.tsx	17
components/PaginationResult.tsx	96
components/PromptCharacters.tsx	19
components/RenderError.tsx	20
components/ResultCard.tsx	69
components/ResultsList.tsx	86
components/SearchBox.tsx	65
components/SimilarCharactersResult.tsx	60
components/StringArrayResult.tsx	35
components/logos/TibiaLogo2.tsx	11
constants/api.ts	4
contexts/SearchedCharacterNameContext.ts	5
contexts/SimilarCharactersCurrentPageContext.ts	2
features/CharacterSearch/components/SearchForm/SearchForm.tsx	75
features/CharacterSearch/components/SearchForm/index.tsx	1
features/CharacterSearch/components/SearchForm/types.tsx	5
features/CharacterSearch/hooks/useCharacterSearch.ts	43
features/CharacterSearch/hooks/usePromptList/fetchPromptList.ts	31
features/CharacterSearch/hooks/usePromptList/index.tsx	1
features/CharacterSearch/hooks/usePromptList/types.tsx	2
features/CharacterSearch/hooks/usePromptList/usePromptList.tsx	27
features/CharacterSearch/index.tsx	1
features/Tracking/components/TrackingCharacter/TrackingCharacter.tsx	35
features/Tracking/components/TrackingCharacter/getColorByStatus.ts	12
features/Tracking/components/TrackingCharacter/index.tsx	1
features/Tracking/enums.ts	5
features/Tracking/hook/useCharacterTracking.tsx	20
features/Tracking/index.tsx	1
features/Tracking/store/charactersTrackingStore.ts	46
pages/_app.tsx	24
pages/_document.tsx	10
pages/index.tsx	14
pages/tracking.tsx	41
schema/character.ts	12
schema/search.ts	6
services/characters/characterApi.ts	19
services/characters/index.ts	1
services/realtime/liveCommunication.ts	24
setupTests.ts	1
types/CharacterResult.ts	29
types/StartSearchingCharacter.ts	2
utils/constants.ts	1
utils/levels.ts	17
utils/stringModificator.ts	6
utils/strings.ts	22
utils/url.ts	13
