Metric		Current
TOTAL_NUMBER_OF_FILES		65
NUMBER_OF_FILES_MAIN		51
LINES_OF_CODE_MAIN		1,339
NUMBER_OF_FILES_MAIN_EXT_TSX		29
LINES_OF_CODE_MAIN_EXT_TSX		960
NUMBER_OF_FILES_MAIN_EXT_TS		21
LINES_OF_CODE_MAIN_EXT_TS		301
NUMBER_OF_FILES_MAIN_EXT_CSS		1
LINES_OF_CODE_MAIN_EXT_CSS		78
NUMBER_OF_FILES_TEST		6
LINES_OF_CODE_TEST		234
NUMBER_OF_FILES_TEST_EXT_TSX		3
LINES_OF_CODE_TEST_EXT_TSX		155
NUMBER_OF_FILES_TEST_EXT_TS		3
LINES_OF_CODE_TEST_EXT_TS		79
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		17.47
NUMBER_OF_FILES_GENERATED		0
LINES_OF_CODE_GENERATED		0
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		2
LINES_OF_CODE_OTHER		10
NUMBER_OF_FILES_OTHER_EXT_MD		2
LINES_OF_CODE_OTHER_EXT_MD		10
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT		79
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_CSS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_CSS		78
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_TS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_TS		1
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COMPONENTS		14
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS		702
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COMPONENTS_EXT_TSX		14
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS_EXT_TSX		702
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CONSTANTS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CONSTANTS		4
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CONSTANTS_EXT_TS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CONSTANTS_EXT_TS		4
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CONTEXTS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CONTEXTS		7
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CONTEXTS_EXT_TS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CONTEXTS_EXT_TS		7
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FEATURES		16
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FEATURES		306
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FEATURES_EXT_TSX		11
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FEATURES_EXT_TSX		169
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FEATURES_EXT_TS		5
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FEATURES_EXT_TS		137
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PAGES		4
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PAGES		89
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PAGES_EXT_TSX		4
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PAGES_EXT_TSX		89
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCHEMA		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCHEMA		18
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCHEMA_EXT_TS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCHEMA_EXT_TS		18
