Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		250
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		270
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_LOC		129
CONDITIONAL_COMPLEXITY_COMPONENT_COMPONENTS_LOW_RISK_LOC		270
CONDITIONAL_COMPLEXITY_COMPONENT_COMPONENTS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_COMPONENTS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_COMPONENTS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FEATURES_NEGLIGIBLE_RISK_LOC		67
CONDITIONAL_COMPLEXITY_COMPONENT_FEATURES_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FEATURES_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FEATURES_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FEATURES_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SERVICES_NEGLIGIBLE_RISK_LOC		24
CONDITIONAL_COMPLEXITY_COMPONENT_SERVICES_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SERVICES_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SERVICES_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SERVICES_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_NEGLIGIBLE_RISK_LOC		30
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_LOC		135
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_LOC		270
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_NEGLIGIBLE_RISK_LOC		115
CONDITIONAL_COMPLEXITY_COMPONENT_TS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_VERY_HIGH_RISK_LOC		0
